0	東京都公式ホームページへようこそ	東京マラソン２０１４「たま発！」多摩の魅力発信プロジェクト未来(あした)への道1000km縦断リレー風しん予防！全国観光PRコーナー平成25年8月28日（水曜日）〜9月3日（火曜日）世界に誇る首都の地下鉄にふさわしい姿を目指して©2007-2013 TOKYO METROPOLITAN GOVERNMENT ALL RIGHTS RESERVED.
1	東京の観光公式サイトGO TOKYOホームページ	東京都オフィシャル観光サイト。東京の観光ルート、有名スポットへの行き方楽しみ方、宿泊先検索、イベント情報など東京都全域のあらゆる観光情報を掲載しています。 ... ホーム 東京の魅力 レジャー 体験 四季の東京 タワー 高層ビル ...
2	東京のイベント＆おでかけスポット情報｜ウォーカープラス東京	東京のイベント情報やおでかけ情報、最新街ニュースをお届けします。東京ウォーカーおすすめのイベントやニュースをはじめ、おでかけする際にとっても役立つ東京のおでかけスポット情報や遊び情報が満載です。
3	東京 - Wikipedia	目次1889年 （明治22年）5月1日には、 東京15区 を東京府から分立して 東京市 とした。東京市は 1923年 （ 大正 12年）の 関東大震災 によって人口が増加した周辺の町村を合併し、市域は最終的には現在の 東京都区部 とほぼ同地域となった。 1938年 （昭和13年）6月に 内務省 が「東京都制案要綱」発表し、1943年（昭和18年）1月に政府が「東京都制案」を 帝国議会 に提出し可決されたことを受け、同年7月1日に 東京都制 が施行され、東京府と東京市は廃止されて 東京都 が設置された。首都圏整備法 第2条第3項に規定する「既成市街地」は全域
4	東京新聞(TOKYO Web)	東京新聞の総合ニュースサイト。首都圏・関東地方のニュースと生活情報を中心に、様々な地域情報を提供します ... シリア化学兵器、証拠消失の恐れ 政府が使用と英外相 （07:51） 罰則対象から報道目的除外を検討 秘密保護法案で ...
5	東京ディズニーランドホテル	東京ディズニーランドの正面に建つ東京ディズニーランドホテル。パークと調和したヴィクトリア時代の壮麗かつ華やかな雰囲気の中、レストランやカフェなどの施設が充実。くつろぎの時間をお過ごしいただけます。
6	東京ディズニーリゾート 30周年 ザ・ハピネス･イヤー	東京ディズニーリゾートの30周年は、ハピネスがいっぱいの'ザ・ハピネス・イヤー'！2013年4月15日から2014年3月20日まで！ さあ、いっしょに！みんなでハピネスを体験し、ハピネスの輪を広げよう！ ... ツイート mixiチェック ソーシャル ...
7	東京のおでかけイベント情報 | レッツエンジョイ東京 - Let's ...	 
8	東京新聞:東京(TOKYO Web)	［写真］
9	東京メトロ	2013年8月1日
10	東京 グルメ・レストランガイド [食べログ]	4.493位4.312位一燈新小岩つけ麺らーめん 春樹 江戸川橋店 （1） （江戸川橋、神楽坂、茗荷谷 / つけ麺、ラーメン、餃子）2013年8月26日オープン2013年8月26日オープン2013年8月26日オープン|新着口コミ'13/08/28'13/08/28
11	ZEPP｜東京	ソン・シギョン＜andymori：公演中止のお知らせ＞7/27：Zepp Sapporo、8/3、8/4：Zepp Namba（OSAKA）、8/10：Zepp Fukuoka、8/11：Zepp Nagoya、8/24、8/25： Zepp Tokyoで予定しておりましたandymoriの公演は中止となりました。詳しくはアーティストオフィシャルサイトをご覧ください。
12	テレビ東京 地上デジタル7チャンネル : トップページ : TV TOKYO	Copyright(c)TV TOKYO Corporation All rights reserved.
13	ピンポイント天気（東京） - ウェザーニュース	検索結果が20件を超えました。 上位20件を表示します。 目的地が見つからない場合は、キー ワードを追加 または 適切な検索 ジャンルを選択し直し、再度検索し て下さい。
14	東京ディズニーシー | 東京ディズニーリゾート・オフィシャル ...	さあ、冒険とイマジネーションの海へ！東京ディズニーシーの7つのテーマポートでは、楽しいアトラクションやエンターテイメント、多彩なショップやレストランがお待ちかねです。あなたも時空を超えた航海への扉を開きましょう！
15	TOKYO SKA PARADISE ORCHESTRA	東京スカパラダイスオーケストラのオフィシャルサイト。ニュース、メディア、ライブスケジュール、プロフィール、スタッフブログ等 ... news - 8月22日[木]大阪フェスティバルホール公演 グッズ発表！（2013.08.16） news - 9月26日[木]LOSALIOS ...
16	NHK@首都圏	NHK首都圏放送センターで、制作、放送している、首都圏向けの放送番組内容を中心に、お伝えします。 ... 「こんにちはいっと6けん」で放送した料理コーナーのレシピを紹介。簡単調理、ヘルシー、節約レシピです。 9月1日 放送
17	ちひろ美術館・東京	Please use more than the version of the Internet Explorer 6.次の月
